ext_tot,agr_tot,con_tot,neg_tot,ope_tot,health_tot,work_tot,gpa,age,gender
NA,NA,NA,NA,NA,3.3076923076923075,2.8823529411764706,NA,25,Woman
3,2.8333333333333335,3.25,2.25,2.8333333333333335,3.923076923076923,3.823529411764706,3.52,25,Woman
3.6666666666666665,3.5,3.75,3.0833333333333335,3.1666666666666665,3.076923076923077,2.588235294117647,3.89,21,Woman
3.3333333333333335,3.4166666666666665,3.3333333333333335,2.5833333333333335,3.3333333333333335,3.3461538461538463,NA,3.8,20,Woman
NA,NA,NA,NA,NA,3.6923076923076925,3.6470588235294117,2.9,23,Woman
3.3333333333333335,4.166666666666667,3.5833333333333335,2.9166666666666665,4.166666666666667,3.8461538461538463,3.588235294117647,4,21,Nobinary or genderqueer
3.3333333333333335,3.6666666666666665,2.75,3.3333333333333335,3,3.730769230769231,4.411764705882353,3.4,20,Woman
NA,NA,NA,NA,NA,3.576923076923077,2.3529411764705883,3.1,19,Man
NA,NA,NA,NA,NA,3.576923076923077,3.5294117647058822,3.5,23,Woman
3.25,3.9166666666666665,3.4166666666666665,2.9166666666666665,3.5,3.576923076923077,4.117647058823529,3.3,18,Woman
NA,NA,NA,NA,NA,3.230769230769231,2.9411764705882355,4,18,Woman
NA,NA,NA,NA,NA,3.423076923076923,3.588235294117647,3.75,19,Woman
2.25,4.25,4.25,3.6666666666666665,3.6666666666666665,3.8461538461538463,2.411764705882353,3.81,19,Woman
3.3333333333333335,4.333333333333333,4.25,2.5,4.75,3.1923076923076925,3.9411764705882355,3.59,19,Woman
NA,NA,NA,NA,NA,3.6153846153846154,3.8823529411764706,3.8,19,Woman
3.8333333333333335,3.9166666666666665,4.25,2.25,4.25,4.384615384615385,3.6470588235294117,4,18,Woman
NA,NA,NA,NA,NA,3.730769230769231,4.0588235294117645,3.9,19,Man
4,4.333333333333333,4.416666666666667,2.4166666666666665,3.6666666666666665,3.8846153846153846,4.411764705882353,3.9,18,Woman
NA,NA,NA,NA,NA,3.3076923076923075,3.764705882352941,3.78,31,Woman
3.25,3.6666666666666665,3.4166666666666665,1.6666666666666667,3.0833333333333335,3.6153846153846154,3.2941176470588234,4,20,Woman
NA,NA,NA,NA,NA,3.6923076923076925,3.6470588235294117,4,20,Woman
NA,NA,NA,NA,NA,2.769230769230769,2.7058823529411766,3.89,18,Woman
NA,NA,NA,NA,NA,2.8461538461538463,3.176470588235294,3.98,19,Woman
NA,NA,NA,NA,NA,4.038461538461538,2.235294117647059,3.6,22,Woman
NA,NA,NA,NA,NA,4.384615384615385,4.294117647058823,3.1,23,Woman
NA,NA,NA,NA,NA,3.8076923076923075,4,3.66,19,Woman
3.0833333333333335,2.6666666666666665,3.8333333333333335,1.75,3.0833333333333335,3.230769230769231,3.764705882352941,3.95,19,Man
NA,NA,NA,NA,NA,2.769230769230769,3.4705882352941178,3.35,20,Woman
NA,NA,NA,NA,NA,3.6538461538461537,2.2941176470588234,3.3,20,Woman
2.75,3.5833333333333335,3.0833333333333335,3,3.3333333333333335,3.5,2.3529411764705883,3.35,20,Woman
NA,NA,NA,NA,NA,4.076923076923077,4.294117647058823,3.7,37,Woman
NA,NA,NA,NA,NA,NA,2.1176470588235294,3.4,18,Woman
NA,NA,NA,NA,NA,4.153846153846154,4.647058823529412,2.74,22,Woman
3,2.5833333333333335,4.583333333333333,2.6666666666666665,3,3.269230769230769,3.5294117647058822,3.5,18,Woman
3.4166666666666665,3.5,3.5,1.9166666666666667,2.9166666666666665,3.6538461538461537,4.411764705882353,3.5,20,Woman
NA,NA,NA,NA,NA,4.384615384615385,3.8823529411764706,3.7,20,Woman
NA,NA,NA,NA,NA,2.8461538461538463,4.235294117647059,3.6,26,Woman
4.166666666666667,3.75,3.0833333333333335,2.5833333333333335,3.25,3.6923076923076925,4.352941176470588,3,18,Woman
2.3333333333333335,3.5,3,2.6666666666666665,2.8333333333333335,3.1538461538461537,3.4705882352941178,3.4,21,Woman
2.75,3.5833333333333335,3.25,3,2.6666666666666665,3.923076923076923,3.7058823529411766,3.1,18,Woman
2.9166666666666665,3.1666666666666665,3.25,3,3.0833333333333335,3.5384615384615383,4.588235294117647,4,18,Woman
3.4166666666666665,3.5833333333333335,3,2.1666666666666665,4.416666666666667,3.230769230769231,3.1176470588235294,4,19,Woman
2.3333333333333335,3,3.1666666666666665,3.4166666666666665,3.5,4.115384615384615,2.8823529411764706,3.4,19,Woman
NA,NA,NA,NA,NA,4,2.9411764705882355,2.2,18,Woman
NA,NA,NA,NA,NA,3.3461538461538463,3.6470588235294117,NA,18,Woman
NA,NA,NA,NA,NA,3.8076923076923075,4.470588235294118,3.1,23,Man
3.25,3.75,3,3,2.5833333333333335,3.730769230769231,4.0588235294117645,3.7,18,Woman
NA,NA,NA,NA,NA,2.769230769230769,2.764705882352941,3.4,20,Woman
3.1666666666666665,3.5,3,3.25,3.4166666666666665,2.730769230769231,3.3529411764705883,3.3,19,Nobinary or genderqueer
NA,NA,NA,NA,NA,3.6923076923076925,3.4705882352941178,3.7,23,Woman
2.3333333333333335,4.333333333333333,4.75,3.5,3.1666666666666665,3.730769230769231,4.176470588235294,3.13,19,Woman
NA,NA,NA,NA,NA,2.6153846153846154,2.0588235294117645,3.5,18,Woman
NA,NA,NA,NA,NA,3.6538461538461537,3.764705882352941,3.7,18,Woman
NA,NA,NA,NA,NA,3.1923076923076925,2.823529411764706,3.9,21,Woman
4.083333333333333,NA,4.416666666666667,2.5,3.4166666666666665,3.5,4.529411764705882,3.93,19,Woman
3.1666666666666665,3.1666666666666665,2.8333333333333335,3.9166666666666665,5,NA,3.2941176470588234,3,31,Woman
NA,NA,NA,NA,NA,3.423076923076923,3.411764705882353,3.26,18,Woman
4,4.166666666666667,3.9166666666666665,3,3.6666666666666665,3.4615384615384617,3.5294117647058822,3.6,19,Woman
NA,NA,NA,NA,NA,3,2.2941176470588234,3.7,18,Woman
NA,NA,NA,NA,NA,3.3461538461538463,2.3529411764705883,3.7,35,Woman
NA,NA,NA,NA,NA,3.8461538461538463,4.588235294117647,3.1,19,Nobinary or genderqueer
NA,NA,NA,NA,NA,3.3846153846153846,2.8823529411764706,3.62,18,Woman
NA,NA,NA,NA,NA,3.5,3.588235294117647,3.8,18,Woman
3.6666666666666665,3.6666666666666665,3.9166666666666665,3.5,4.5,4.230769230769231,4.0588235294117645,3.4,19,Woman
4.5,4.75,5,1.25,4.166666666666667,4.384615384615385,4.294117647058823,3.3,18,Woman
NA,2.75,3,3.75,3.5833333333333335,2.730769230769231,NA,3.93,19,Woman
3.8333333333333335,4.083333333333333,2.8333333333333335,3.75,4.083333333333333,4.269230769230769,3.6470588235294117,3.9,19,Man
1.8333333333333333,2.8333333333333335,3.5,3.25,4.5,2.3846153846153846,2.5294117647058822,2.4,18,Woman
NA,NA,NA,NA,NA,3.5,3.176470588235294,3.1,22,Man
NA,NA,NA,NA,NA,4.038461538461538,4.176470588235294,4,36,Man
NA,NA,NA,NA,NA,3.4615384615384617,3.0588235294117645,3.68,19,Man
2.5,3.1666666666666665,3.0833333333333335,3.1666666666666665,2.8333333333333335,3.1923076923076925,3.176470588235294,4,35,Man
2.5833333333333335,3.25,3.0833333333333335,3.4166666666666665,4.083333333333333,3.269230769230769,3.3529411764705883,3.91,29,Woman
NA,NA,NA,NA,NA,3.423076923076923,3.588235294117647,3.5,29,Man
NA,NA,NA,NA,NA,3.6538461538461537,3.2941176470588234,3.8,22,Woman
NA,NA,NA,NA,NA,3.3076923076923075,3.3529411764705883,4,20,Woman
NA,NA,NA,NA,NA,3.0384615384615383,3.764705882352941,4.1,35,Man
3,2.8333333333333335,3,4,3.1666666666666665,3.230769230769231,4.235294117647059,5,21,Woman
NA,NA,NA,NA,NA,3.6153846153846154,3.4705882352941178,3.8,56,Man
NA,NA,NA,NA,NA,3.923076923076923,4.352941176470588,3.4,40,Man
NA,NA,NA,NA,NA,3.923076923076923,3.6470588235294117,3,25,Man
NA,NA,NA,NA,NA,4.153846153846154,2.823529411764706,4,35,Man
3.75,3.6666666666666665,4.25,1.5833333333333333,3.1666666666666665,3.3461538461538463,3.588235294117647,3.6,22,Man
2.9166666666666665,2.9166666666666665,3,2.6666666666666665,2.8333333333333335,2.9615384615384617,3.5294117647058822,3.5,23,Woman
NA,NA,NA,NA,NA,3.8461538461538463,2.411764705882353,3,27,Man
3.3333333333333335,4.833333333333333,4.583333333333333,1.1666666666666667,3.75,4.3076923076923075,4.470588235294118,3.2,22,Man
3.5,3.5833333333333335,3.8333333333333335,3.6666666666666665,4.416666666666667,3.076923076923077,2.5294117647058822,3.8,22,Woman
3.4166666666666665,2.8333333333333335,3.6666666666666665,3.25,3.4166666666666665,3.6538461538461537,3.235294117647059,3.8,26,Man
2.0833333333333335,4.083333333333333,2.9166666666666665,3.8333333333333335,4.833333333333333,3.6923076923076925,2.588235294117647,3.75,43,Man
2.4166666666666665,4.5,4.083333333333333,2.1666666666666665,4.833333333333333,4,3.8823529411764706,91,30,Man
3.0833333333333335,4.083333333333333,4.833333333333333,2.75,4.916666666666667,4.076923076923077,3.4705882352941178,NA,40,Man
NA,NA,NA,NA,NA,2.6153846153846154,1.411764705882353,3.9,21,Man
NA,NA,NA,NA,NA,2.923076923076923,2.411764705882353,NA,65,Man
2.8333333333333335,3,3,3.25,3.25,3.423076923076923,2.764705882352941,3.5,58,Woman
3.25,3.3333333333333335,4.166666666666667,2.0833333333333335,4.25,3.076923076923077,3.8823529411764706,3.7,26,Man
NA,NA,NA,NA,NA,4.115384615384615,4.470588235294118,3.1,30,Man
3.0833333333333335,3.1666666666666665,3,3.25,3.25,3.3461538461538463,3.588235294117647,4,29,Man
NA,NA,NA,NA,NA,3.3846153846153846,2.3529411764705883,3.5,23,Man
NA,NA,NA,NA,NA,NA,2.823529411764706,3.86,22,Woman
2.8333333333333335,3.0833333333333335,2.5,3,2.9166666666666665,3.4615384615384617,3.3529411764705883,2.65,220,Woman
3,4.083333333333333,3.75,3.5,3.5,4.115384615384615,2.9411764705882355,3.83,26,Woman
3.5,3.75,4.75,2,4,3.769230769230769,3.823529411764706,3.5,65,Woman
NA,NA,NA,NA,NA,3.1538461538461537,3.0588235294117645,NA,41,Man
2.5,3.1666666666666665,3.25,3.3333333333333335,4.916666666666667,3.9615384615384617,2.4705882352941178,3.8,21,Woman
NA,NA,NA,NA,NA,NA,2.411764705882353,3.5,25,Man
NA,NA,NA,NA,NA,3.230769230769231,3.6470588235294117,3.8,32,Man
3.5833333333333335,3.4166666666666665,3.6666666666666665,3.1666666666666665,3.4166666666666665,3.423076923076923,4.176470588235294,3.6,31,Woman
NA,NA,NA,NA,NA,3.230769230769231,3.764705882352941,4,44,Woman
NA,NA,NA,NA,NA,3.1153846153846154,3.176470588235294,0.5,20,Man
3.1666666666666665,3.8333333333333335,3.6666666666666665,3.0833333333333335,4.583333333333333,3.6923076923076925,3.1176470588235294,3.95,26,Woman
NA,NA,NA,NA,NA,3.730769230769231,3.823529411764706,3.7,28,Man
3.3333333333333335,2.5833333333333335,2.8333333333333335,2,2.75,3.5,3.0588235294117645,3.6,35,Man
3.6666666666666665,3.75,3.8333333333333335,2.4166666666666665,3.75,3.8076923076923075,3.3529411764705883,5,40,Man
NA,NA,NA,NA,NA,4.384615384615385,3.8823529411764706,3.3,21,Man
NA,NA,NA,NA,NA,4.269230769230769,4.176470588235294,3.1,23,Man
NA,NA,NA,NA,NA,3.769230769230769,4.352941176470588,3.4,39,Man
3.75,3.5,4.166666666666667,2.1666666666666665,3.5,3.769230769230769,3.3529411764705883,4,29,Man
NA,NA,NA,NA,NA,4.269230769230769,2.588235294117647,2.75,22,Woman
3.1666666666666665,2.5,3.25,4,2.4166666666666665,NA,3.1176470588235294,3.1,25,Man
NA,NA,NA,NA,NA,4.076923076923077,4.294117647058823,3.7,21,Man
NA,NA,NA,NA,NA,3.730769230769231,4.411764705882353,3.7,26,Woman
NA,NA,NA,NA,NA,3.5384615384615383,3.7058823529411766,3.88,23,Man
NA,NA,3.75,NA,NA,3.6923076923076925,4.0588235294117645,4,30,Man
NA,NA,NA,NA,NA,3.8461538461538463,3.7058823529411766,3.6,29,Woman
2.4166666666666665,4.25,4.333333333333333,3.1666666666666665,4.75,3.423076923076923,3.2941176470588234,2.9,29,Woman
NA,NA,NA,NA,NA,3.269230769230769,3.176470588235294,3.86,21,Woman
NA,NA,NA,NA,NA,3.3846153846153846,1.7058823529411764,3,55,Woman
3.0833333333333335,3.6666666666666665,4,2.8333333333333335,4.75,3.3846153846153846,3.1176470588235294,4,26,Man
3.1666666666666665,4,4.333333333333333,1.75,3.75,3.8461538461538463,4.235294117647059,3.6,33,Woman
NA,NA,NA,NA,NA,3.5,3.588235294117647,4,25,Man
NA,4.166666666666667,4.333333333333333,2.5833333333333335,3.0833333333333335,2.8846153846153846,3.588235294117647,3.7,32,Man
4.5,4.5,5,1.3333333333333333,3.75,3.6923076923076925,4,3,25,Man
NA,NA,NA,NA,NA,3.230769230769231,3.9411764705882355,3.8,27,Man
3.9166666666666665,4.166666666666667,3,3.8333333333333335,4,3.5,3.7058823529411766,2.9,19,Woman
NA,NA,NA,NA,NA,3.3076923076923075,3,3.8,55,Woman
NA,NA,NA,NA,NA,2.8846153846153846,3.0588235294117645,3.75,25,Man
4.083333333333333,4.083333333333333,4.333333333333333,2.5833333333333335,4.916666666666667,3.423076923076923,3.176470588235294,3.8,25,Man
3.0833333333333335,4.25,4.25,2,3.6666666666666665,3.8076923076923075,4.705882352941177,3.9,20,Woman
3.0833333333333335,3.9166666666666665,4.25,1.9166666666666667,3.9166666666666665,4.076923076923077,3.4705882352941178,4,46,Woman
3.9166666666666665,4.333333333333333,4.75,2.1666666666666665,3.9166666666666665,4.153846153846154,2.823529411764706,3.02,23,Woman
NA,NA,NA,NA,NA,3.1923076923076925,3.0588235294117645,4,22,Man
3.1666666666666665,4.25,3.75,2.6666666666666665,4.083333333333333,4,2.588235294117647,4,28,Man
3.75,3.8333333333333335,4.083333333333333,2.4166666666666665,3.8333333333333335,4.115384615384615,4.0588235294117645,3.4,35,Woman
3.25,4.5,5,1.8333333333333333,3.25,4.346153846153846,4.529411764705882,3,39,Man
2.9166666666666665,3.1666666666666665,2.9166666666666665,3.25,2.9166666666666665,3.269230769230769,4.588235294117647,4,27,Woman
NA,NA,NA,NA,NA,4.076923076923077,3.6470588235294117,3,20,Man
4,3.75,4.416666666666667,1.9166666666666667,4.833333333333333,3.8846153846153846,3.0588235294117645,3.67,35,Man
3.4166666666666665,3.25,4.083333333333333,2.5833333333333335,3.75,4.076923076923077,3.5294117647058822,4,25,Man
NA,NA,NA,NA,NA,3.1538461538461537,3.6470588235294117,2,33,Man
NA,NA,NA,NA,NA,3.3461538461538463,3.823529411764706,5,31,Man
NA,NA,NA,NA,NA,4.076923076923077,4.0588235294117645,4,62,Man
3.1666666666666665,2.5,3.5833333333333335,2.8333333333333335,3.4166666666666665,3.076923076923077,3.4705882352941178,4,57,Man
3.1666666666666665,3.25,3.3333333333333335,2.3333333333333335,3.1666666666666665,3.6153846153846154,NA,NA,35,Man
NA,NA,NA,NA,NA,3.6538461538461537,3.1176470588235294,3.5,49,Man
NA,NA,NA,NA,NA,NA,3.8823529411764706,NA,21,Man
NA,NA,NA,NA,NA,3.423076923076923,1.8823529411764706,NA,21,Man
NA,NA,NA,NA,NA,3.9615384615384617,2.8823529411764706,NA,40,Man
2.1666666666666665,3.1666666666666665,3.1666666666666665,2.9166666666666665,3.4166666666666665,3.6153846153846154,2.9411764705882355,2.7,20,Woman
NA,NA,NA,NA,NA,3.8846153846153846,3.176470588235294,8,49,Man
3.0833333333333335,2.75,3.1666666666666665,2.8333333333333335,2.9166666666666665,4.038461538461538,4.352941176470588,3.9,26,Man
NA,NA,NA,NA,NA,3.3846153846153846,1.588235294117647,3.2,44,Man
NA,NA,NA,NA,NA,3.576923076923077,3.235294117647059,3.1,35,Woman
2.75,2.9166666666666665,3.1666666666666665,3.75,2.1666666666666665,3.230769230769231,NA,4,29,Man
NA,NA,NA,NA,NA,3.3461538461538463,4,3.9,30,Woman
NA,NA,NA,NA,NA,3,3.4705882352941178,3,35,Woman
NA,NA,NA,NA,NA,3.730769230769231,3.764705882352941,3.25,20,Man
3,3.4166666666666665,3.4166666666666665,3.1666666666666665,3.1666666666666665,3.3461538461538463,3.235294117647059,3,24,Man
2.9166666666666665,3.0833333333333335,3,2.8333333333333335,2.9166666666666665,3.6538461538461537,4.0588235294117645,3.75,29,Man
NA,NA,NA,NA,NA,2.8076923076923075,2.5294117647058822,3.3,20,Man
NA,4.333333333333333,5,1.75,3.9166666666666665,4.153846153846154,4.294117647058823,3.5,49,Woman
3.0833333333333335,4.583333333333333,2.6666666666666665,1.9166666666666667,4.25,3.730769230769231,2.764705882352941,3.2,21,Man
NA,NA,NA,NA,NA,4.230769230769231,3.7058823529411766,3.8,45,Woman
NA,NA,NA,NA,NA,4.076923076923077,3.9411764705882355,3.2,36,Man
NA,NA,NA,NA,NA,3.3076923076923075,2.588235294117647,3.7,24,Woman
4.25,3.4166666666666665,3,2.6666666666666665,4,3.423076923076923,4.117647058823529,3.5,29,Man
NA,NA,NA,NA,NA,2.8461538461538463,3.1176470588235294,NA,67,Woman
2.5,3.5,3.5,3.0833333333333335,2.5833333333333335,3.5384615384615383,3.1176470588235294,4,20,Man
NA,NA,NA,NA,NA,3.4615384615384617,2.764705882352941,3.7,23,Man
NA,NA,NA,NA,NA,3.0384615384615383,3.7058823529411766,3.5,34,Man
2.9166666666666665,2.75,3,4.166666666666667,3,3.3461538461538463,3.235294117647059,3.5,33,Man
NA,NA,NA,NA,NA,3.6538461538461537,2.9411764705882355,3.5,22,Man
NA,NA,NA,NA,NA,3.423076923076923,1.8235294117647058,3.87,24,Woman
NA,4,4.416666666666667,1.8333333333333333,4.083333333333333,3.423076923076923,4.411764705882353,NA,25,Man
NA,NA,NA,NA,NA,3.6153846153846154,3.235294117647059,3,31,Man
3.0833333333333335,3.3333333333333335,3.0833333333333335,2.4166666666666665,4.166666666666667,4,4.235294117647059,3.3,21,Man
2.9166666666666665,2.75,2.9166666666666665,3.0833333333333335,3.0833333333333335,3.423076923076923,4.294117647058823,3.4,36,Man
NA,NA,NA,NA,NA,2.6538461538461537,3.764705882352941,3.7,28,Man
2.4166666666666665,NA,2.9166666666666665,3.0833333333333335,2.8333333333333335,3.9615384615384617,3.823529411764706,3,29,Woman
2.4166666666666665,2.9166666666666665,3.5,2.75,3.5833333333333335,3.0384615384615383,4.411764705882353,3.5,34,Man
3.0833333333333335,3.1666666666666665,2.9166666666666665,2.8333333333333335,2.3333333333333335,3.423076923076923,4.117647058823529,2.9,25,Woman
4.25,4,3.5833333333333335,2.8333333333333335,4.166666666666667,4.3076923076923075,3.411764705882353,4,29,Man
3,3.1666666666666665,3.1666666666666665,2.9166666666666665,2.9166666666666665,3.9615384615384617,4.588235294117647,3.5,26,Man
NA,NA,NA,NA,NA,3.3846153846153846,2.764705882352941,3.75,21,Woman
2.9166666666666665,3.0833333333333335,2.8333333333333335,3.5,3,3.1153846153846154,4.0588235294117645,3.85,35,Woman
NA,NA,NA,NA,NA,3.8846153846153846,3.7058823529411766,3.6,56,Man
NA,NA,NA,NA,NA,3.076923076923077,3.588235294117647,3.2,23,Man
NA,NA,NA,NA,NA,3.6923076923076925,3.8823529411764706,2.8,61,Woman
NA,NA,NA,NA,NA,4.038461538461538,4.411764705882353,3.5,38,Woman
3,3.5833333333333335,4.333333333333333,2.75,3,3.576923076923077,3.8823529411764706,3.7,22,Man
NA,NA,NA,NA,NA,2.8846153846153846,2.9411764705882355,3.82,20,Man
NA,NA,NA,NA,NA,4,3.411764705882353,3.2,29,Man
2.9166666666666665,4.083333333333333,4.833333333333333,2.4166666666666665,4.666666666666667,3.769230769230769,4.294117647058823,3.3,29,Woman
3.5,4.666666666666667,3.25,2.6666666666666665,4.416666666666667,4.230769230769231,4.411764705882353,3,40,Woman
1.5833333333333333,3.0833333333333335,2.0833333333333335,4.416666666666667,3.8333333333333335,2.6538461538461537,2.823529411764706,3,30,Woman
3.5,3.5833333333333335,3.3333333333333335,3.5833333333333335,4.916666666666667,3.576923076923077,4.647058823529412,3.98,42,Woman
NA,NA,NA,NA,NA,3.8461538461538463,4.470588235294118,3.8,26,Man
NA,NA,NA,NA,NA,3.6538461538461537,4.176470588235294,3.3,22,Man
4.333333333333333,4.333333333333333,2.75,3.1666666666666665,4,2.6923076923076925,3.235294117647059,2,42,Man
3.5833333333333335,4.416666666666667,4.833333333333333,2.5,3.5833333333333335,3.730769230769231,3.5294117647058822,3,26,Man
2.5,2.8333333333333335,3.0833333333333335,3.1666666666666665,2.9166666666666665,3.4615384615384617,4.0588235294117645,3,22,Man
NA,NA,NA,NA,NA,3.6923076923076925,2.5294117647058822,2.67,23,Man
NA,NA,NA,NA,NA,3.4615384615384617,1.5294117647058822,3.7,52,Woman
NA,NA,NA,NA,NA,3.423076923076923,4.294117647058823,4,28,Man
NA,NA,NA,NA,NA,3.076923076923077,1.7647058823529411,4,21,Man
NA,NA,NA,NA,NA,3.076923076923077,3.6470588235294117,3.5,18,Man
NA,NA,NA,NA,NA,2.6538461538461537,2.588235294117647,3.8,33,Woman
2.4166666666666665,4.5,4.25,2.6666666666666665,3.5,4.076923076923077,4.117647058823529,3.7,22,Woman
NA,NA,NA,NA,NA,3.230769230769231,3.1176470588235294,3.5,34,Man
2.3333333333333335,4.333333333333333,3.75,3.25,3.3333333333333335,3.1538461538461537,3.5294117647058822,3.4,24,Prefer not to answer
2.75,3.5,2.9166666666666665,3.0833333333333335,3.0833333333333335,3.3076923076923075,4,3,27,Woman
