Age,Gender,Ethnicity,Language,Income,health1,health2,health3,health4,health5,health6,health7,health8,health9,health10,health11,health12,health13,health14,health15,health16,health17,health18,health19,health20,health21,health22,health23,health24,health25,health26,work1,work2,work3,work4,work5,work6,work7,work8,work9,work10,work11,work12,work13,work14,work15,work16,work17
30,2,6,2,2,4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,2,1,2,2,5,2,2,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5
29,1,1,1,2,4,4,4,4,4,4,5,4,5,5,5,5,4,4,5,4,2,2,2,2,4,2,2,4,4,4,4,5,4,5,3,5,3,4,3,4,5,4,5,3,5,5,4
29,1,1,1,3,4,3,2,4,2,3,2,4,3,4,3,4,4,2,2,4,3,4,3,3,2,4,2,3,4,2,2,3,2,2,3,2,3,4,2,2,4,2,4,3,2,3,3
21,1,7,1,1,4,4,4,2,4,4,2,4,2,5,4,3,5,2,1,5,2,2,4,1,3,3,3,4,2,5,4,4,5,5,5,4,2,4,3,5,3,4,4,3,5,4,3
55,1,3,1,3,5,5,4,5,4,4,5,5,5,4,1,2,2,5,5,2,5,5,4,5,5,5,5,2,1,4,4,4,5,4,4,5,4,5,5,5,5,2,5,5,2,4,2
26,2,1,2,1,5,4,1,1,1,5,5,1,4,1,1,4,1,1,5,2,2,1,5,5,4,5,5,1,5,5,4,4,5,4,5,5,4,5,5,5,5,5,3,3,5,5,5
33,1,2,1,2,4,5,5,4,4,3,2,4,4,2,3,4,4,4,2,2,2,4,5,2,4,2,4,5,4,5,1,1,5,1,5,2,4,4,2,5,2,2,2,2,1,1,2
25,2,1,2,4,4,2,2,3,4,2,2,4,2,2,2,4,2,4,2,2,5,3,5,5,5,5,2,2,4,5,2,3,3,4,3,3,4,4,4,5,4,3,2,3,3,4,2
32,2,6,1,1,4,4,5,3,4,4,2,4,5,4,4,4,4,4,5,4,4,2,2,3,4,2,3,5,NA,5,5,4,3,4,4,5,4,5,4,5,5,4,4,5,3,3,5
25,2,1,1,4,5,3,2,2,4,4,3,4,3,4,4,5,5,5,5,4,5,1,2,5,4,3,1,1,4,5,1,2,4,2,1,2,5,2,2,3,3,2,1,2,1,1,2
27,2,6,1,5,4,3,2,2,4,3,3,2,3,3,2,4,3,2,2,4,3,3,4,3,3,3,3,2,2,2,3,3,3,3,3,2,4,3,4,3,3,3,2,3,3,3,3
19,1,2,1,1,2,1,3,5,3,5,2,3,4,5,5,5,5,2,4,4,5,5,3,3,3,3,3,4,1,2,3,2,2,3,3,2,3,3,2,2,4,3,2,2,3,3,2
55,1,1,1,4,4,5,4,4,4,5,5,4,5,1,2,2,5,5,4,5,5,5,4,5,5,5,5,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,2,1,1,5,5,3,5,5,3,2,5,2,4,4,1,3,5,4,4,2,5,5,1,4,4,4,5,1,5,5,5,4,5,5,5,5,5,5,5,5,4,3,4,4,4,5,4
25,2,7,1,1,5,5,4,2,4,5,1,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5
20,1,1,1,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,3,5,5,3,2,4,5,5,4,2,3,4,4,4,2,3,4,4,4,4,4,3,3,5,4
46,1,1,1,5,4,4,5,5,4,4,3,3,4,3,3,4,4,3,4,4,3,4,1,3,4,3,3,1,4,5,2,2,5,4,5,3,5,5,5,5,4,3,3,3,2,3,3
23,1,6,1,4,4,1,1,3,4,5,3,1,2,3,4,5,3,1,2,3,2,1,3,3,4,3,3,4,4,3,3,2,1,2,2,4,5,3,2,3,1,5,5,4,2,5,4
22,2,6,2,1,4,4,3,4,3,4,3,4,5,5,4,3,5,3,4,5,2,2,3,2,4,3,3,2,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,3,4,4
28,2,1,1,5,3,4,2,3,4,5,2,3,5,4,2,3,4,4,3,5,4,3,1,3,3,4,2,1,5,3,4,3,1,3,4,5,3,2,5,3,2,4,5,3,4,5,3
35,1,1,1,4,5,5,4,5,5,1,5,5,2,4,1,1,5,2,5,4,5,1,1,5,5,5,1,1,1,1,2,5,5,4,5,4,5,5,4,5,4,4,2,4,4,5,5
39,2,1,1,4,4,4,2,4,4,4,4,4,1,1,1,1,1,4,1,1,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
27,1,6,1,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,5,4,5,5
20,2,1,1,4,5,5,5,5,4,4,5,4,3,5,5,4,5,4,5,4,1,2,1,2,5,2,2,4,5,1,4,5,4,5,5,4,4,4,5,3,5,4,4,3,4,5,4
35,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,1,2,2,2,4,2,2,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,2,6,1,4,5,4,3,2,4,2,2,4,5,5,4,3,5,5,4,5,2,1,3,2,3,2,2,3,3,5,4,5,4,5,5,3,4,5,4,4,5,4,5,4,3,5,4
33,2,1,1,4,3,3,5,4,4,4,4,5,4,4,5,4,5,5,4,4,1,2,2,3,4,2,1,4,2,4,5,3,3,5,4,4,4,3,5,5,3,3,4,5,4,4,3
31,2,1,2,2,4,3,2,3,3,2,4,4,3,2,4,5,2,4,4,5,1,3,2,3,3,1,1,1,5,5,2,3,4,4,4,3,4,4,4,4,4,3,3,2,3,3,2
62,2,1,1,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,4,5,2,1,2,1,5,2,1,5,5,3,3,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5
57,2,2,1,5,5,5,5,5,4,4,1,4,5,5,5,3,5,5,4,5,5,3,5,5,5,5,3,5,3,1,5,3,1,5,3,5,3,5,5,5,5,3,5,1,3,3,5
35,2,6,2,3,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,1,2,2,1,4,1,2,5,4,4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4
49,2,1,2,3,2,1,2,4,1,2,4,4,4,1,1,1,1,2,3,1,3,3,4,3,4,3,3,5,3,5,1,3,2,2,3,2,2,3,1,2,2,1,2,1,1,1,1
21,2,1,1,3,4,3,1,1,1,4,1,1,1,1,1,3,1,1,4,1,5,5,5,3,2,3,3,1,3,5,2,4,4,2,3,3,3,5,5,5,5,5,1,1,3,3,3
21,2,1,2,1,4,3,1,2,1,2,2,4,1,1,1,1,1,1,3,1,2,5,5,3,5,5,3,1,1,4,1,1,1,1,1,1,5,3,2,3,3,2,1,1,1,1,4
40,2,2,1,5,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,2,1,2,1,5,1,1,4,5,5,5,5,5,4,3,4,2,3,NA,2,3,2,3,2,3,3,3
20,1,6,1,5,2,2,1,1,4,4,1,1,1,1,2,1,1,2,4,1,1,3,3,5,3,3,2,5,5,5,1,4,2,4,1,2,4,2,2,2,2,4,4,2,1,2,3
49,2,6,1,2,4,4,4,3,4,4,4,4,4,5,4,5,4,5,5,4,3,3,1,2,5,4,2,2,4,2,3,5,4,4,4,4,5,4,5,5,4,4,5,5,3,4,4
26,2,1,1,4,3,3,3,4,3,3,4,4,4,4,2,3,3,4,3,4,4,4,4,3,2,4,3,2,2,3,3,2,2,3,2,3,3,2,2,3,3,2,2,3,2,3,3
44,2,1,1,3,3,4,4,4,3,3,2,3,2,2,4,5,5,4,4,4,4,5,4,4,4,5,3,1,3,2,3,3,3,4,4,4,4,4,5,4,4,3,3,3,4,4,4
35,1,1,1,2,2,5,1,1,4,1,1,1,1,1,1,1,5,1,4,1,2,4,5,4,4,5,1,5,1,1,1,1,1,4,2,1,5,1,2,5,4,2,4,3,1,4,1
29,2,1,2,4,4,5,4,4,5,4,2,2,4,2,2,5,1,5,5,2,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5
30,1,1,1,4,5,4,5,4,4,4,5,4,3,5,2,4,3,4,4,5,3,2,2,2,5,2,3,3,4,4,4,5,4,4,3,4,4,5,3,5,4,3,4,4,3,4,5
35,1,6,2,1,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,1,2,1,2,5,2,1,4,5,4,5,4,4,4,5,5,4,3,5,4,5,4,5,4,5,5,4
20,2,1,1,4,4,4,1,1,4,3,2,4,4,3,3,2,2,5,5,3,5,5,5,5,5,5,5,4,5,5,2,3,4,5,4,3,4,4,4,3,4,4,3,2,2,3,3
24,2,1,1,1,5,4,2,4,3,4,5,4,4,4,3,4,2,4,4,3,2,2,1,4,4,4,2,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
29,2,1,1,3,5,4,5,5,2,1,3,3,4,3,2,1,4,2,5,2,1,4,2,5,5,5,2,3,4,5,1,5,3,3,2,5,5,1,2,1,1,2,4,4,5,1,4
20,2,1,1,6,4,4,5,5,2,4,5,4,5,1,5,2,4,5,5,5,2,4,2,4,4,4,5,2,1,5,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,3,2
49,1,1,1,2,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,1,5,5,1,1,5
21,2,2,2,2,3,4,4,2,4,2,2,4,4,4,5,2,2,4,2,4,2,2,5,2,3,5,5,1,4,5,2,1,4,2,3,3,4,4,4,4,4,2,2,3,2,3,2
45,1,1,1,3,5,5,2,2,3,5,2,5,5,5,3,2,4,4,2,4,5,4,4,5,4,3,5,5,5,5,3,4,4,4,4,3,4,3,4,3,3,4,4,3,4,4,3
36,2,1,1,4,3,4,5,5,4,3,5,4,5,5,4,3,5,2,2,1,3,5,2,3,2,3,4,2,2,5,4,4,3,4,3,3,4,4,4,3,4,2,2,3,2,3,3
24,1,1,1,3,5,1,4,5,2,4,1,3,1,1,1,4,1,1,3,4,5,5,2,5,5,5,5,1,3,5,4,4,5,5,5,5,5,4,5,5,4,4,3,3,3,4,4
29,2,7,1,6,5,4,2,2,3,4,2,4,1,1,3,1,3,1,1,3,5,5,3,5,5,5,5,5,5,5,1,2,4,3,3,4,3,3,3,3,3,3,2,2,1,1,1
67,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
20,2,1,1,1,2,4,1,4,3,2,2,1,4,1,1,4,5,5,2,3,5,5,4,4,5,5,5,5,5,5,4,5,5,4,5,4,4,5,4,5,5,5,5,4,4,5,4
23,2,1,1,4,4,4,4,5,4,3,4,4,4,2,4,4,5,5,2,2,5,5,3,5,5,5,2,1,1,5,2,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3
34,2,1,1,2,4,2,1,2,NA,2,2,3,2,2,4,3,4,4,3,5,4,4,4,4,4,3,5,1,5,5,3,2,4,2,3,2,4,3,3,4,3,2,2,3,2,2,3
33,2,3,1,4,3,3,4,3,4,4,4,5,4,4,2,2,4,3,3,3,2,2,4,3,5,4,2,4,4,4,4,5,4,3,5,4,5,5,4,4,4,4,5,4,4,5,5
22,2,3,1,3,2,2,2,4,1,3,5,4,5,1,1,1,1,4,4,1,4,4,4,3,4,4,3,5,3,5,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,1,1
24,1,1,1,5,4,4,5,5,4,2,5,5,5,1,1,5,4,4,2,3,5,4,5,5,5,5,2,1,2,5,1,1,5,1,3,1,2,2,2,3,3,1,1,1,1,2,1
25,2,6,2,1,4,4,4,5,4,4,4,5,2,2,4,5,5,5,4,4,4,2,4,5,5,5,2,5,5,5,4,4,4,2,4,4,2,5,4,5,4,4,3,3,2,3,4
31,2,2,2,1,2,4,4,4,3,3,4,4,1,1,3,5,4,4,4,4,4,2,4,2,4,2,3,5,5,5,4,3,3,4,3,2,4,3,4,4,4,4,4,4,4,4,4
21,2,6,2,3,4,4,2,2,1,2,2,4,1,1,2,3,2,1,2,2,5,4,4,4,5,4,4,5,1,5,2,2,2,2,3,3,2,3,4,4,3,2,2,2,1,1,2
36,2,2,1,6,4,3,2,3,4,4,5,4,4,2,3,4,5,4,4,1,5,5,5,5,5,1,5,2,5,5,4,4,5,3,4,3,4,5,4,4,5,2,3,2,1,3,4
28,2,1,2,2,5,3,3,3,1,5,5,5,3,3,5,5,1,5,5,2,5,1,2,5,5,5,5,5,4,5,1,1,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1
29,1,2,1,3,4,4,5,3,5,3,4,4,5,5,4,4,4,5,3,5,2,3,2,1,2,1,1,5,4,5,4,5,3,4,5,4,3,5,4,5,5,5,3,5,5,4,5
34,2,1,1,4,5,5,4,5,4,4,5,5,5,5,2,3,2,4,5,2,4,2,4,4,5,4,2,2,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,1,2,1,4,5,5,3,3,5,5,2,5,5,5,5,5,5,5,3,5,3,1,5,1,4,5,5,1,5,2,4,5,5,5,5,2,5,5,3,5,5,5,5,3,5,4,5
29,2,1,1,2,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,2,3,2,3,4,2,2,4,3,4,3,4,3,4,4,3,4,3,3,4,4,3,3,4,3,4,3
26,2,3,1,3,4,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,3,1,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,1,4,4
21,1,1,1,6,5,5,3,3,2,4,5,4,3,3,3,3,5,5,4,4,1,3,2,2,3,3,5,2,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4
35,1,1,1,5,2,4,5,5,4,5,5,5,5,2,5,5,4,1,4,4,5,2,2,2,4,2,2,2,5,5,5,5,5,5,4,4,2,5,4,5,5,2,5,4,2,5,5
56,2,1,1,5,3,2,4,4,2,3,2,3,1,1,4,3,5,4,3,2,3,4,4,4,4,4,5,5,5,5,2,2,4,3,4,3,2,2,3,3,3,2,2,2,2,2,3
23,2,3,2,1,3,2,4,1,2,1,5,1,4,3,4,1,4,4,5,4,1,4,5,3,1,3,2,2,1,1,4,5,5,2,4,4,2,5,3,4,3,2,2,4,5,3,4
61,1,1,1,3,2,2,5,5,2,2,2,4,1,1,4,2,2,5,4,3,5,4,4,5,5,5,5,2,5,5,1,3,3,1,3,1,1,3,1,3,3,5,3,5,5,5,3
38,1,6,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,2,1,2,2,4,4,4,5,5,4,2,3,4,1,1,4,4,5,5,2,3,2,5,4,5,5,4,5,5,5,3,3,5,4,4,4,5,4,4,5,5,3,2,2,2,3,4
20,2,1,1,4,5,4,3,2,2,3,2,2,3,2,2,3,4,5,4,4,5,2,3,4,5,5,4,3,2,1,3,2,1,2,4,3,3,2,3,3,4,3,3,4,3,3,3
29,2,1,1,5,5,4,5,5,4,4,5,4,5,2,2,2,5,2,2,4,4,4,5,5,5,5,5,2,2,2,1,2,2,2,4,2,4,2,4,4,4,2,2,2,2,2,2
29,1,2,1,3,4,3,3,5,3,3,4,3,4,4,3,5,5,3,2,3,3,2,3,3,4,2,3,4,3,4,4,3,3,5,4,3,3,4,4,3,3,4,3,4,3,4,3
40,1,1,1,5,5,2,2,2,2,4,1,4,5,2,1,1,4,2,2,2,4,4,2,4,4,2,4,5,4,5,2,2,2,1,2,2,4,2,2,2,2,2,4,2,2,2,2
30,1,6,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5
42,1,1,1,2,2,5,5,4,5,1,5,3,4,4,5,1,5,5,5,3,4,4,2,5,3,5,5,1,2,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,3,4,5
26,2,1,1,2,3,2,5,4,3,5,3,4,5,1,1,2,4,3,4,1,2,2,2,2,4,3,2,2,3,2,4,3,5,3,4,3,3,3,4,5,3,4,4,3,2,4,2
22,2,1,1,5,4,4,5,5,3,5,5,4,5,3,3,5,5,4,4,2,1,4,3,4,3,2,4,1,5,5,4,3,4,4,4,4,4,3,3,4,3,3,3,3,2,3,3
42,2,6,2,1,5,5,4,3,5,5,4,5,5,5,4,5,3,5,5,5,5,2,4,1,5,1,1,5,4,5,4,5,5,4,3,4,5,5,5,5,5,4,5,5,1,4,4
26,2,1,2,3,1,2,1,5,2,4,5,5,5,3,1,4,1,5,5,1,5,5,5,5,5,5,4,5,3,5,2,2,3,2,3,3,4,2,3,3,2,1,1,1,1,1,1
22,2,1,2,2,2,2,1,1,4,1,4,5,4,1,1,4,5,1,2,1,4,3,5,5,5,4,5,1,2,1,4,4,3,5,3,4,5,5,5,4,4,3,4,4,2,3,5
23,2,1,1,3,4,4,3,3,2,4,4,4,2,2,4,4,4,4,5,3,5,2,3,4,5,4,2,4,5,5,1,2,1,1,2,2,4,3,2,3,4,1,3,2,1,2,4
52,1,3,2,5,4,4,3,2,4,5,1,2,4,1,3,5,2,5,4,5,4,3,5,5,5,4,5,2,5,5,4,4,5,5,5,5,3,4,4,5,5,4,5,5,5,4,3
28,2,7,2,4,5,4,4,3,3,3,4,5,5,3,3,4,4,3,2,3,3,2,2,2,4,3,2,5,5,3,4,3,4,3,3,3,4,4,3,4,3,3,4,3,3,4,3
21,2,3,1,4,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,1,2,4,2,5,1,1,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,4,5,4,5,4
18,2,1,2,2,2,4,2,1,3,2,1,4,1,1,1,1,4,2,3,1,4,4,4,2,4,4,4,1,4,5,1,1,2,1,1,1,4,2,2,2,3,1,1,1,1,1,1
33,1,1,1,6,5,5,5,5,5,3,5,5,5,4,1,2,5,5,4,4,2,2,2,4,4,2,2,1,2,5,3,2,4,5,4,2,4,4,4,4,4,2,2,4,3,4,4
22,1,1,1,2,5,3,5,5,4,5,5,5,3,1,5,5,5,5,5,5,5,5,3,5,5,3,5,1,5,3,5,5,5,5,5,5,1,5,5,5,5,5,5,3,1,1,1
34,2,1,1,4,3,3,5,1,5,3,4,1,3,5,4,1,5,2,4,1,1,5,2,4,2,2,1,2,4,5,3,5,2,4,2,1,4,5,3,2,1,5,4,2,4,5,4
24,NA,7,1,1,1,3,1,1,4,3,2,5,4,1,1,1,5,4,1,2,3,3,3,3,3,3,2,3,2,1,1,3,4,4,4,3,4,4,3,4,3,2,3,3,2,2,2
27,1,2,1,3,4,3,4,2,4,5,4,4,5,5,2,1,1,1,4,4,2,2,4,5,4,5,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,5
38,2,1,1,6,3,4,1,1,4,4,5,4,1,1,1,2,1,3,4,1,4,4,1,5,4,1,5,1,2,2,2,1,2,4,4,4,4,2,3,3,3,4,2,2,2,4,3
56,1,1,1,1,3,4,2,1,4,5,5,4,2,2,2,4,2,4,4,3,4,5,4,5,5,5,5,5,4,5,2,2,4,2,2,2,4,3,2,3,2,2,2,2,2,2,1
37,2,1,2,2,5,4,4,5,4,4,5,4,5,3,5,5,4,4,4,3,2,3,3,3,3,3,1,2,3,5,4,4,5,4,4,4,4,5,4,5,5,4,4,4,3,4,4
24,2,1,1,3,5,4,4,5,5,5,5,5,5,4,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,2,4,3,1,5,5
22,2,1,1,1,4,2,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
36,1,2,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,4,5,5,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5
23,2,1,1,1,2,1,1,1,2,4,4,2,2,1,1,2,2,5,5,4,4,4,2,4,5,5,2,4,2,1,1,2,2,2,2,2,4,4,3,4,4,2,4,2,1,1,3
23,1,1,1,2,3,4,5,5,4,4,5,5,5,5,5,5,2,5,2,5,5,5,3,5,5,5,5,5,5,5,1,3,2,4,2,1,1,1,1,1,2,2,1,1,1,1,1
22,2,6,2,2,2,4,1,1,5,2,2,3,4,5,3,4,5,2,1,2,2,4,3,2,2,2,1,2,3,1,1,2,3,2,3,2,5,2,3,1,2,1,2,3,1,2,4
22,2,3,1,3,5,5,1,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5
54,1,1,2,1,3,4,1,5,1,5,1,5,5,1,1,5,4,4,5,2,5,2,5,5,5,4,5,2,5,5,4,4,5,4,5,4,2,4,4,4,5,4,4,4,4,4,4
23,2,1,1,5,5,4,4,1,4,2,1,4,5,2,3,5,5,4,4,1,5,5,2,4,4,5,5,1,2,5,4,2,5,3,5,3,2,4,4,5,4,4,5,4,3,4,4
20,1,1,1,1,4,4,2,3,2,3,2,4,2,1,4,5,5,3,3,2,4,4,2,4,3,3,4,1,3,5,3,2,4,4,4,3,4,3,3,4,3,3,2,2,2,3,2
53,1,7,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,3,4,1,3,3,3,3,4,2,5,1,1,4,1,1,3,3,3,3,3,1,1,3,3,2,2,2,3,2,1
26,1,1,1,2,1,5,3,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,1,1,1,1,3,1,1,1,1,1,5,1,3,1,1,5,5,5,5,1,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
41,2,1,1,3,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,4,5,3,4,5,5,5,2,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,2,1,1,2,1,3,1,5,3,1,5,1,1,1,1,1,5,3,3,1,1,3,2,3,4,3,1,1,3,5,1,1,4,4,4,3,3,2,2,2,3,3,1,1,3,3,1
32,2,2,1,4,5,5,5,5,4,4,4,5,5,4,5,4,5,5,4,4,4,2,2,4,5,5,4,4,4,5,5,5,5,5,2,4,4,5,5,5,5,4,4,4,4,4,4
20,1,6,2,2,4,4,2,2,2,3,1,1,5,4,3,3,4,4,3,3,2,4,5,3,4,5,3,5,4,5,2,4,4,2,4,5,4,5,3,5,5,5,5,3,2,3,2
55,2,1,1,4,4,5,4,4,5,4,5,4,5,4,5,4,5,5,4,5,2,1,2,2,5,2,1,4,5,4,4,5,4,4,4,5,4,5,5,4,5,5,4,4,5,4,5
21,2,1,1,5,4,4,5,5,4,4,5,4,5,2,4,4,4,3,4,5,5,4,3,4,5,5,4,2,5,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,3,4,4
27,1,1,1,4,4,5,4,4,3,3,4,5,5,5,1,3,5,4,4,4,4,4,4,5,4,4,5,2,3,2,1,2,4,2,4,2,4,5,4,4,4,3,4,3,2,3,4
25,2,6,2,3,3,4,3,3,4,2,5,3,1,1,1,2,5,2,2,5,5,3,3,4,3,5,5,5,5,5,2,3,3,2,3,3,4,4,3,3,4,3,3,4,2,2,4
30,1,1,1,5,4,3,3,3,3,3,2,5,3,4,5,4,4,4,5,5,2,3,3,2,3,2,2,3,5,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4
19,1,2,1,4,3,4,4,4,2,2,3,3,1,1,1,1,1,4,4,3,5,5,5,5,5,3,5,5,5,5,1,1,5,5,5,3,4,3,3,4,4,5,5,5,2,5,4
28,1,3,2,1,4,4,1,4,4,4,4,4,4,1,1,4,5,2,4,4,2,4,4,2,2,2,5,4,4,5,2,3,4,5,4,4,4,4,4,5,5,5,5,5,4,5,5
23,2,6,1,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,2,2,3,2,3,3,4,4,4,4,3,5,2,2,4,4,4,3,4,4,3,4,3,2,3,2,2,2,3
